#LOCUS	LENGTH	A10.L4C	A11.L11G	A12.L10B	A13.L3B	A14.L4E	A15.L4G	A16.L7C	A17.L1B	A18.S4H	A19.S3B	A2.U10A	A20.S1E	A21.S8A	A3.U3G	A4.U3B	A5.U10D	A7.U3E	A8.U2E	A9.L3D	ATCC42720
Gypsy-62_BG-LTR_Supercontig_1.3_1539075	116	97.99	217.18	104.69	197.27	187.57	184.69	85.28	118.21	101.15	182.75	207.98	97.17	193.84	85.59	102.83	92.36	206.09	192.70	83.06	230.12
Gypsy-62_BG-LTR_Supercontig_1.4_183449	103	154.39	286.92	119.29	229.14	263.20	183.20	129.48	140.73	137.71	299.51	217.89	115.81	300.82	154.73	112.92	135.09	260.86	234.00	127.79	312.35
Gypsy-62_BG-LTR_Supercontig_1.4_50866	55	195.47	258.73	177.55	333.76	372.35	361.80	163.05	160.69	197.29	324.40	302.82	176.40	389.38	190.64	151.40	176.09	374.60	275.35	148.24	383.04
Gypsy-62_BG-LTR_Supercontig_1.8_74037	99	58.52	284.93	66.65	120.79	116.81	119.53	65.31	55.13	55.36	112.39	104.84	61.44	125.61	62.56	66.95	63.26	148.76	140.99	65.29	326.72
Gypsy-63_BG-I_Supercontig_1.3_1572321	49	127.12	239.78	143.76	288.98	292.53	273.59	137.71	129.12	159.45	259.67	291.43	159.08	302.63	165.80	143.33	170.59	271.31	244.53	161.02	310.94
Gypsy-69_BG-I_Supercontig_1.6_116637	101	78.93	159.58	87.62	162.91	186.85	142.98	92.00	115.32	99.95	182.05	282.45	77.30	165.96	84.91	89.85	104.90	160.96	188.08	78.00	209.12
Gypsy-73_MLP-I_Supercontig_1.1_2201956	87	160.72	277.14	131.18	251.87	287.34	217.03	116.25	120.32	134.38	222.09	297.29	137.71	275.45	131.91	137.54	140.37	276.60	288.82	154.45	272.72
Gypsy-7_ADe-I_Supercontig_1.1_2062751	42	46.48	119.90	71.40	114.05	77.48	84.62	50.48	61.45	63.31	83.33	68.98	45.12	111.19	56.95	65.43	55.95	114.98	74.26	57.57	140.76
Gypsy-7_BG-I_Supercontig_1.8_516571	37	141.78	389.59	101.51	241.68	237.24	207.24	108.11	107.89	96.05	217.19	276.78	115.27	268.08	134.03	123.73	101.11	219.19	224.65	117.11	245.41
Gypsy-7_PGr-I_Supercontig_1.3_186984	39	138.90	301.13	130.13	293.92	260.00	244.90	136.15	133.56	146.15	254.08	220.03	148.41	228.08	137.13	125.03	130.08	282.36	285.00	161.23	276.67
Gypsy-82_MLP-I_Supercontig_1.3_353323	60	135.08	293.23	152.12	287.57	290.42	254.53	133.15	136.62	158.53	241.62	250.78	129.67	257.28	124.57	136.75	151.65	297.08	260.93	145.10	244.93
Gypsy-84_MLP-I_Supercontig_1.4_51724	59	90.31	160.51	74.69	133.63	172.42	131.15	48.58	89.32	75.42	148.95	164.17	81.31	170.69	76.58	101.98	69.63	175.31	162.83	97.78	295.05
Gypsy-8_BG-I_Supercontig_1.2_1730802	61	48.57	59.25	40.02	90.03	76.05	78.57	42.16	33.59	40.23	77.25	91.11	38.46	68.57	35.13	38.38	33.54	95.36	83.25	28.62	206.87
Gypsy-8_PGr-I_Supercontig_1.1_1592904	39	111.36	226.00	84.36	221.79	226.87	220.72	121.31	91.18	131.05	274.92	238.15	98.95	232.95	106.69	141.23	94.23	223.18	241.10	133.18	210.82
Gypsy-8_RO-I_Supercontig_1.1_1059379	53	29.79	27.15	29.26	43.23	45.04	31.25	21.85	30.91	15.60	42.70	64.83	19.85	38.81	13.06	19.30	16.15	45.15	33.96	10.98	36.98
Gypsy-93_MLP-I_Supercontig_1.1_1431477	46	137.89	198.13	155.87	264.17	236.15	238.87	125.74	117.89	101.07	234.09	237.20	121.33	212.89	90.11	109.72	80.61	250.20	231.63	111.24	210.70
Gypsy-9_SLL-I_Supercontig_1.8_147401	41	132.80	443.93	117.46	238.61	220.54	237.88	124.07	129.51	133.10	239.34	295.83	128.95	239.49	154.37	130.80	114.51	246.46	267.41	127.22	353.93
Harbinger-10_PSt_Supercontig_1.8_72803	155	126.94	506.85	139.68	215.84	229.35	214.59	130.67	144.89	121.37	260.11	251.45	123.86	242.48	135.48	122.07	127.52	257.02	258.12	135.66	327.06
Harbinger-11_MLP_Supercontig_1.4_105641	67	137.00	255.57	144.21	266.48	316.49	279.19	153.31	135.61	165.30	292.40	370.72	201.84	373.22	151.63	137.85	167.36	289.43	282.93	150.18	333.31
Harbinger-4C_PSt_Supercontig_1.4_1219144	48	149.88	305.58	109.62	306.50	311.58	316.60	114.79	148.38	145.62	265.58	270.38	128.44	256.19	109.81	92.81	153.92	309.21	296.83	137.65	257.15
Harbinger-4D_PSt_Supercontig_1.1_1108527	34	97.47	173.41	106.18	238.74	255.03	212.47	116.06	111.88	110.24	211.85	208.91	109.41	166.29	74.59	122.65	92.76	240.65	192.50	87.74	174.12
Harbinger-6_PGr_Supercontig_1.5_811526	49	139.08	270.16	142.78	271.31	319.20	236.71	159.37	140.39	130.20	286.80	243.49	146.61	260.02	105.73	144.71	95.49	251.16	268.39	149.80	234.33
Harbinger-7_PGr_Supercontig_1.1_1934146	112	138.32	315.80	186.92	298.78	406.07	290.35	140.96	156.26	146.65	274.66	284.61	141.26	330.12	134.01	160.99	145.13	321.54	272.39	182.17	292.88
Harbinger-9_MLP_Supercontig_1.1_1084270	49	128.33	194.67	124.65	252.27	229.69	231.88	108.76	116.94	115.82	180.41	221.43	87.69	174.78	114.88	108.78	93.37	189.94	183.35	87.69	165.35
Helitron-1_PGr_Supercontig_1.4_405087	43	153.77	184.44	172.60	328.23	272.60	263.33	161.09	188.30	124.88	304.95	279.93	116.91	318.42	113.44	117.98	137.56	314.58	256.19	196.30	273.30
Helitron-1_SLL_Supercontig_1.3_1646321	68	117.88	224.29	140.21	278.00	297.79	237.29	87.66	129.68	152.10	304.91	243.84	127.07	270.88	135.85	142.69	175.57	261.75	279.71	126.25	254.10
Helitron-2_PSt_Supercontig_1.2_619288	104	87.37	245.63	122.42	229.90	223.93	228.45	104.05	107.26	99.82	225.55	270.52	90.82	239.53	98.42	131.73	100.26	253.38	240.44	116.71	214.89
IS10_Supercontig_1.1_2319253	46	155.20	322.80	141.00	360.04	270.28	297.61	113.35	164.91	165.76	312.59	316.13	149.85	344.89	199.85	168.20	157.52	327.74	289.13	158.48	416.41
KolobokH-4_RIr_Supercontig_1.1_296806	65	139.23	255.06	144.95	237.72	283.55	236.15	111.51	121.17	112.85	282.78	237.11	108.78	232.89	132.75	156.51	112.48	355.75	226.54	130.29	270.08
Mariner-2_SLL_Supercontig_1.1_189030	84	89.13	275.99	151.83	247.15	264.02	259.20	122.88	121.86	126.57	241.44	245.52	116.07	282.49	153.17	112.42	120.60	257.89	220.95	114.12	301.54
Mariner-2_SLL_Supercontig_1.2_1022405	44	131.75	201.34	113.48	232.86	262.20	258.20	126.18	99.95	104.34	214.52	193.32	113.27	206.07	123.14	104.45	81.02	202.61	264.39	98.84	205.50
Mariner-2_SLL_Supercontig_1.2_1121374	77	79.92	151.48	104.03	194.84	166.34	141.27	127.45	119.57	106.30	187.51	172.99	72.03	201.71	103.45	111.65	70.70	206.18	180.22	90.16	158.70
Mariner-2_SLL_Supercontig_1.2_192412	74	79.82	187.07	127.64	190.11	246.69	195.26	73.18	94.24	110.96	214.36	195.96	122.35	200.93	162.68	100.31	124.62	215.09	194.78	98.16	228.73
Mariner-2_SLL_Supercontig_1.4_548406	64	74.33	171.66	83.34	167.09	212.38	205.44	88.47	76.67	104.28	162.83	180.44	75.92	213.38	93.72	87.98	103.58	170.94	211.78	106.31	174.30
Mariner-2_SLL_Supercontig_1.8_113424	66	60.20	337.11	91.33	146.47	218.24	140.61	88.29	96.97	87.65	167.61	122.17	83.27	189.00	86.23	110.36	79.68	159.06	179.44	77.74	178.58
Mariner-4_TMe_Supercontig_1.1_2201924	53	160.91	306.75	120.45	262.43	276.66	223.38	133.81	107.19	133.08	242.62	298.68	134.89	289.13	147.94	115.87	141.62	280.49	287.62	148.08	253.25
Mariner-5_ROr_Supercontig_1.4_1736633	61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	364.20
Mariner-5_ROr_Supercontig_1.4_1736974	157	0.00	0.00	0.00	0.00	0.00	0.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.28	379.36
Mariner-6_ROr_Supercontig_1.5_464563	44	163.82	251.80	163.23	309.52	300.27	242.25	159.39	152.82	139.86	269.11	264.16	121.20	287.02	133.52	116.61	126.66	325.05	260.57	128.55	247.73
Mariner-7_ROr_Supercontig_1.4_1723552	128	147.24	380.91	185.09	341.89	320.44	318.80	167.11	190.51	145.81	279.92	303.33	179.29	392.23	196.91	162.79	145.13	342.66	327.94	198.16	386.97
Merlin-2_Roryzae_Supercontig_1.4_1663205	51	167.31	325.55	146.24	218.96	268.47	223.80	112.22	114.37	127.82	249.94	251.25	119.47	313.84	144.00	127.76	164.96	262.80	257.04	164.59	380.22
MoTeR2_Supercontig_1.1_2062873	46	51.24	146.46	43.37	136.59	121.11	130.98	65.54	64.63	73.63	133.15	86.09	64.20	110.24	64.65	46.37	101.33	119.33	130.76	71.41	189.13
MuDR-1_MLP_Supercontig_1.1_1043038	44	130.25	209.02	129.07	235.93	234.73	247.89	103.50	115.84	96.68	177.98	248.95	126.93	176.98	71.89	96.73	99.91	257.48	193.95	106.70	215.07
MuDR-1_PGr_Supercontig_1.2_548707	47	138.68	307.11	120.15	292.34	313.43	300.62	126.38	122.47	148.19	284.66	281.60	184.28	281.51	164.64	157.32	112.49	288.21	283.51	143.19	264.60
NHT2_I-int_Supercontig_1.4_729496	57	155.16	207.51	141.65	249.54	268.30	205.49	141.81	108.09	142.54	252.67	306.46	109.14	269.61	116.40	152.00	125.21	211.89	255.84	118.68	199.39
P-1_AllMac_Supercontig_1.8_147362	38	148.32	508.63	131.21	287.26	262.61	275.58	138.42	161.71	144.11	282.00	323.11	153.71	288.92	165.11	163.68	147.00	290.08	320.16	160.45	338.05
P-2_MLP_Supercontig_1.4_1201132	78	152.03	286.96	116.88	261.62	306.51	273.85	127.28	136.14	160.88	284.33	240.46	138.18	250.96	139.77	133.69	119.86	256.58	229.32	132.63	222.71
Polinton-1_GI_Supercontig_1.6_739915	56	170.89	344.25	195.36	287.14	289.64	627.80	118.23	223.00	298.61	756.43	368.30	304.11	653.64	360.38	165.45	339.36	370.71	717.71	176.43	344.25
Polinton-1_GI_Supercontig_1.6_740072	117	100.40	211.54	110.84	227.17	229.89	441.75	104.15	129.00	263.74	507.81	219.36	238.89	455.89	280.74	118.68	244.68	249.43	464.68	128.73	333.96
Polinton-1_GI_Supercontig_1.6_740167	106	148.49	264.28	130.72	281.48	220.01	453.08	137.71	159.26	261.33	575.44	262.85	244.47	569.86	285.55	136.91	273.47	237.29	470.86	139.93	328.80
SAT-1_PGr_Supercontig_1.7_628871	50	90.52	198.34	73.94	229.82	165.02	165.06	99.58	97.06	116.60	236.56	222.48	129.62	211.26	111.12	97.22	109.66	197.96	220.36	109.30	209.08
Sagan-6_MLP_Supercontig_1.3_224487	89	76.91	192.06	118.98	190.26	229.53	184.48	88.87	100.02	91.40	187.83	162.35	113.38	185.21	93.21	79.78	106.12	181.67	226.80	98.22	248.57
Sagan-7_MLP_Supercontig_1.8_221024	89	73.40	276.92	78.88	128.46	146.66	117.21	71.90	58.16	66.74	144.08	114.10	78.65	170.44	86.35	71.83	91.29	122.24	128.51	74.65	238.92
T-rich_Supercontig_1.3_1093800	222	21.04	44.70	30.05	54.36	52.02	60.64	27.16	28.13	21.02	51.00	52.61	30.17	58.36	26.01	34.34	21.74	47.51	49.61	29.24	162.74
TCG3_I-int_Supercontig_1.2_2038305	54	154.11	254.33	133.87	328.41	284.81	303.54	134.44	185.65	168.96	337.39	319.57	141.09	325.48	176.09	161.72	130.30	287.59	303.78	160.52	312.37
TDH5_I-int_Supercontig_1.1_814573	905	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	212.13
TDH5_I-int_Supercontig_1.1_815663	64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	28.20
TDH5_I-int_Supercontig_1.2_1061381	993	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	311.50
TDH5_I-int_Supercontig_1.2_1062469	66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	432.14
TDH5_I-int_Supercontig_1.4_415167	66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	46.30
TDH5_I-int_Supercontig_1.4_415307	1011	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.30	0.00	0.00	0.00	0.17	0.00	0.00	0.00	286.01
TDH5_I-int_Supercontig_1.8_608692	986	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	227.51
TDH5_I-int_Supercontig_1.8_609781	66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00	0.00	504.21
TKL1_I-int_Supercontig_1.2_469563	80	143.72	248.81	96.72	231.14	243.79	237.28	127.28	140.54	138.64	242.53	281.35	115.16	264.10	114.53	160.36	97.26	238.62	255.54	135.11	291.31
TPA5_I-int_Supercontig_1.8_685963	388	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	349.03
TPA5_I-int_Supercontig_1.8_691127	388	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.55	0.00	0.00	0.00	0.00	0.00	0.00	363.99
TSE3_I-int_Supercontig_1.5_15923	883	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	487.31
TSE3_I-int_Supercontig_1.5_16802	282	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	402.65
TSE3_I-int_Supercontig_1.5_17568	461	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	432.88
TY5-I_Supercontig_1.4_1225726	34	165.47	252.68	136.35	292.82	235.68	251.41	160.65	156.06	151.41	307.82	230.21	112.35	257.21	126.21	129.91	156.68	279.79	253.18	151.03	209.79
TY_Supercontig_1.2_507370	46	113.35	228.41	136.37	297.30	274.24	225.74	116.65	114.15	137.91	266.98	227.63	101.87	281.74	131.83	125.78	94.33	296.46	251.74	117.74	238.59
TY_Supercontig_1.3_1508154	48	134.96	202.96	136.35	301.79	289.77	222.71	143.81	125.77	151.54	273.77	312.77	135.12	345.81	139.19	117.75	99.02	281.04	245.02	154.54	313.94
TY_Supercontig_1.3_284257	44	158.34	208.30	153.77	282.16	222.70	251.27	115.66	116.18	130.23	206.32	248.77	135.80	242.18	93.05	134.77	114.70	245.61	225.82	132.86	233.95
TY_Supercontig_1.6_389778	37	123.08	228.95	103.81	230.81	261.57	236.46	164.68	119.73	97.05	239.43	509.11	124.30	255.43	123.11	117.14	118.73	222.81	264.65	128.68	246.30
Tad1-17B_BG_Supercontig_1.1_1684645	38	140.87	223.87	129.82	276.32	242.53	340.29	109.26	124.89	124.00	219.84	273.42	130.68	241.11	138.55	132.53	131.45	266.13	289.21	140.76	255.26
Tad1-1_PSt_Supercontig_1.3_144555	56	156.91	253.38	116.04	255.98	271.21	240.12	127.95	143.29	146.16	245.04	281.68	110.50	241.18	131.57	110.30	137.75	244.46	292.77	157.02	279.54
Tad1-29_BG_Supercontig_1.1_181850	64	132.36	272.66	155.22	283.36	250.22	226.38	162.59	121.06	118.50	285.06	256.39	126.83	279.83	125.78	101.48	149.66	256.75	216.48	160.39	281.42
Tad1-31_BG_Supercontig_1.1_626528	35	121.23	237.11	126.60	226.80	194.54	257.34	126.20	115.06	108.09	230.71	184.86	110.34	246.31	94.00	115.37	93.03	245.26	220.54	111.11	242.11
Tad1-38_BG_Supercontig_1.2_518761	77	107.39	197.49	98.44	240.82	210.38	266.82	113.56	93.71	110.30	243.43	189.71	122.31	257.12	98.14	112.86	98.81	253.55	256.23	104.42	228.39
Tad1-48_BG_Supercontig_1.1_976222	77	117.47	212.58	109.79	225.34	217.06	251.01	114.06	113.84	124.68	207.42	268.77	105.86	209.73	105.36	114.57	90.87	212.77	190.71	118.94	226.64
Tad1-63C_BG_Supercontig_1.7_726785	86	200.60	368.73	201.24	348.13	378.14	340.19	159.08	188.37	194.76	355.06	359.73	185.69	309.01	214.49	170.56	177.60	394.56	383.84	215.52	415.20
Tad1-68_BG_Supercontig_1.1_2011452	69	109.25	249.33	97.09	290.13	243.42	211.61	99.39	135.03	130.48	267.10	270.23	125.19	283.22	128.39	139.96	115.61	272.96	244.49	111.86	252.38
Zisupton-4_PGr_Supercontig_1.1_2044418	75	151.61	308.23	133.97	282.24	286.95	219.71	179.95	139.01	137.07	300.09	253.61	144.81	319.55	117.72	130.33	148.71	257.91	282.52	130.05	286.56
hAT-1_AN_Supercontig_1.5_1244761	49	109.39	271.88	162.35	286.67	289.37	304.02	147.67	149.90	148.88	310.76	267.51	146.27	299.14	168.12	146.76	161.90	316.71	268.37	144.14	231.57
hAT-1_Cglob_Supercontig_1.1_1349399	40	144.15	216.78	104.12	278.62	264.82	231.25	111.35	116.28	121.90	206.62	277.20	122.75	227.00	79.53	113.25	92.83	259.05	205.93	117.03	184.68
