GENE	POSITION	A10.L4C	A11.L11G	A12.L10B	A13.L3B	A14.L4E	A15.L4G	A16.L7C	A17.L1B	A18.S4H	A19.S3B	A2.U10A	A20.S1E	A21.S8A	A22.UpperP	A23.LowerP	A24.SputuP	A3.U3G	A4.U3B	A5.U10D	A6.U5C	A7.U3E	A8.U2E	A9.L3D	ATCC42720	B16.1310D	B17.1311G	B18.1312G	B19.1310A	B20.1311A	B21.1312A	B22.134E	B23.133H	B24.133F	B25.135C	B26.131A	B27.136A	B28.13UM	B29.13MM	C10.9M3	C11.9M41	C12.9U1	C13.9U2	C14.9U3	C15.9U4s	C30.13LM	C31.13MP	C4.9L1	C5.9L2	C6.9L3	C7.9L4	C8.9M1	C9.9M2	ctl1.AL1B	ctl2.AL1B	ctl3.C9L1
CLUG_00225	454245	107.37	134.57	104.96	121.18	116.81	115.37	98.71	87.83	96.67	188.25	119.80	95.55	118.08	234.43	335.80	100.58	77.19	103.88	76.18	471.13	159.68	128.46	112.47	132.14	232.38	261.08	268.31	264.38	246.06	230.84	233.03	253.89	244.16	216.08	261.46	277.32	189.13	188.88	177.20	193.97	247.20	316.84	307.21	284.86	235.27	209.93	215.88	231.74	265.75	212.88	187.22	218.75	273.78	281.12	253.05
CLUG_00226	455880	106.27	126.80	97.78	123.43	119.80	114.73	97.50	84.26	94.79	178.54	120.87	92.61	112.39	254.94	332.82	88.30	91.55	98.06	79.48	453.68	153.22	123.24	110.41	129.83	233.78	239.45	264.10	275.92	253.40	242.50	235.48	264.92	237.10	205.71	272.22	271.13	203.15	203.74	186.75	204.03	235.67	316.29	299.67	290.27	238.18	247.48	207.24	226.76	267.16	209.34	197.23	221.83	287.60	264.83	236.55
CLUG_00227	457165	110.92	130.40	103.72	128.83	115.39	120.40	107.00	85.40	103.40	196.50	133.55	98.99	115.21	244.87	338.73	94.71	88.31	99.79	81.88	462.03	166.01	125.32	114.23	144.79	243.90	250.76	265.10	281.48	256.41	227.49	247.96	273.38	249.99	210.68	280.69	274.46	190.48	176.52	184.28	196.89	244.82	311.65	322.62	283.78	239.14	215.12	219.12	235.92	250.02	204.18	205.47	222.41	288.52	287.08	254.47
CLUG_00228	459052	91.58	131.91	83.56	124.96	111.45	119.67	97.73	79.32	100.33	195.98	119.84	93.81	111.26	225.99	325.84	93.74	84.98	99.98	95.06	436.45	145.93	114.70	113.03	125.08	235.25	232.60	269.59	246.20	242.10	236.25	205.76	250.30	229.22	203.05	258.74	252.57	190.23	204.44	176.95	183.70	243.41	280.33	296.55	267.66	247.57	215.98	191.33	221.00	239.67	213.89	188.21	207.42	257.47	257.92	237.78
CLUG_00229	459586	105.90	121.08	109.67	131.72	123.30	116.07	95.24	84.28	98.97	193.01	116.94	92.05	121.91	243.82	343.65	102.15	78.07	93.63	79.70	468.78	169.79	113.91	106.51	122.31	252.64	241.90	256.46	267.69	239.98	246.19	215.22	245.23	228.04	200.74	282.06	263.77	167.88	179.41	173.06	179.28	225.35	295.13	310.03	277.68	249.31	228.50	207.76	224.47	255.30	209.35	191.55	210.13	257.25	265.09	239.09
CLUG_00230	460293	97.37	124.46	91.32	118.64	111.74	109.41	95.61	78.59	86.94	179.58	109.21	89.78	103.83	228.05	329.02	87.21	77.26	91.38	75.29	430.43	152.89	114.77	105.42	130.32	226.63	234.06	256.09	257.37	226.38	223.27	222.98	247.32	224.09	197.94	256.79	258.08	179.85	172.55	156.97	181.46	241.20	290.55	308.94	276.03	225.04	211.27	211.95	219.83	241.96	201.11	184.36	208.00	260.63	260.39	246.74
CLUG_00231	462145	112.61	122.73	114.14	121.39	122.02	114.01	102.81	78.51	89.54	169.12	118.35	90.10	121.10	252.30	321.44	102.34	72.14	100.69	78.60	457.59	153.87	116.96	115.40	126.19	236.88	246.09	264.50	278.21	231.81	238.65	214.82	259.36	264.35	210.27	278.48	257.19	212.66	193.92	179.00	185.91	268.04	306.42	326.38	276.89	254.80	200.68	213.55	222.46	256.88	209.53	207.20	234.91	283.77	276.30	263.19
CLUG_00232	463143	99.72	120.51	101.85	106.65	101.42	109.09	107.84	80.93	101.32	170.42	126.92	92.68	118.08	236.18	337.69	87.40	80.04	97.51	77.75	460.78	166.59	124.84	96.28	126.82	254.04	264.65	269.90	301.51	235.10	256.25	245.50	267.68	248.41	214.34	248.31	292.32	200.08	221.30	196.83	215.20	254.59	307.46	339.25	291.63	245.82	219.62	220.37	218.97	265.63	225.10	218.47	244.67	271.36	298.54	260.51
CLUG_00233	464203	102.76	118.22	97.47	109.25	116.21	118.85	99.90	79.83	93.22	180.30	119.90	93.01	109.50	234.51	321.97	84.45	88.96	95.35	76.52	412.35	145.53	132.57	107.98	120.85	233.50	229.17	247.69	259.65	222.26	229.70	237.33	257.48	234.35	186.37	259.19	248.03	172.79	182.70	157.35	176.55	233.02	280.97	312.48	264.24	227.89	209.13	191.99	205.70	245.99	196.65	181.58	213.16	249.97	261.64	232.45
CLUG_00234	466119	105.07	119.70	99.75	112.11	112.63	114.32	100.86	76.37	88.98	168.26	112.46	86.94	112.23	224.94	320.11	82.73	79.82	88.46	78.32	447.26	148.96	115.46	103.39	120.46	221.06	239.75	269.04	258.17	230.27	232.48	227.39	252.94	230.70	201.73	257.47	263.96	195.38	192.40	168.14	179.24	226.69	297.42	287.17	274.20	235.93	214.73	198.80	215.02	248.14	195.01	182.12	215.23	253.80	260.37	230.62
CLUG_00235	469940	95.96	114.40	92.55	109.07	107.93	114.03	96.21	80.59	85.82	173.52	108.17	80.89	101.54	204.49	284.52	77.37	75.43	93.71	78.00	412.29	144.83	113.92	93.75	111.89	239.13	244.91	284.32	274.89	240.11	230.81	237.25	261.01	250.64	199.24	248.06	282.08	273.87	245.94	173.16	195.37	236.19	296.80	300.65	273.89	244.15	214.58	212.68	223.85	247.96	196.27	172.51	229.97	276.81	279.31	235.06
CLUG_00236	469991	93.90	107.25	92.88	106.97	106.81	110.53	91.54	73.27	86.24	166.36	103.38	77.32	94.81	192.79	270.04	72.35	72.29	93.14	79.22	395.53	142.18	110.14	91.37	109.08	218.74	244.55	275.69	267.42	231.42	219.88	230.62	260.04	244.62	188.49	247.14	274.89	274.00	237.89	175.70	187.26	231.15	303.15	290.29	265.69	241.79	201.25	209.82	227.12	240.14	202.98	165.01	230.34	271.76	264.66	232.49
CLUG_00237	470545	95.42	110.52	87.72	112.19	109.98	111.36	96.99	78.64	81.82	173.34	105.03	79.89	102.11	223.02	290.58	76.82	67.87	96.89	76.32	407.37	137.50	112.84	95.41	107.17	236.78	241.81	288.18	285.40	246.54	249.68	236.90	251.00	252.83	203.43	249.75	278.87	269.09	234.73	177.68	203.00	237.84	293.68	296.91	273.90	247.27	208.93	218.68	219.38	253.19	194.93	181.42	240.03	281.64	293.08	237.12
CLUG_00238	471201	104.06	132.59	99.77	119.94	119.90	123.14	106.73	86.02	94.87	186.74	123.95	89.03	118.90	229.21	346.90	87.44	85.41	93.68	81.07	451.26	162.55	115.42	106.71	124.81	251.64	231.44	275.99	284.59	253.27	241.27	250.03	283.70	251.15	203.67	272.12	283.44	203.34	206.92	173.68	184.95	242.97	306.85	319.10	276.83	254.06	221.43	210.69	215.95	252.68	203.62	192.31	217.68	301.63	289.66	242.61
CLUG_00239	472225	119.10	127.24	101.39	143.56	142.00	129.94	105.72	81.99	103.94	189.31	121.18	92.48	114.62	236.97	373.16	92.59	81.26	102.62	82.84	485.77	159.29	138.28	124.56	137.44	253.13	241.42	281.20	280.38	247.32	239.02	237.59	268.36	252.47	208.13	277.99	275.95	181.11	179.34	186.47	185.02	246.15	304.99	315.83	289.74	256.09	213.78	211.83	226.38	255.50	200.03	198.34	236.43	280.83	288.28	270.28
CLUG_00240	473181	117.42	133.25	108.51	126.95	121.36	129.28	115.92	88.96	97.10	200.94	122.37	100.04	116.65	234.38	353.49	83.72	84.82	105.94	90.75	480.19	167.06	140.63	107.77	150.29	262.57	255.73	285.55	281.79	265.66	263.51	244.12	284.11	268.26	225.53	272.83	286.56	181.86	183.35	143.32	169.02	212.24	252.57	280.00	248.38	261.73	234.16	186.81	185.83	224.99	175.32	168.53	203.96	275.39	285.30	228.28
CLUG_00241	474858	111.21	129.08	97.24	116.56	109.79	114.92	94.97	74.19	95.14	184.84	106.60	87.49	111.19	243.80	334.31	96.03	86.66	95.26	85.48	446.72	165.09	112.64	110.49	142.14	259.16	267.06	268.42	279.02	256.25	257.49	232.07	293.80	258.79	219.24	266.94	272.36	195.45	199.37	142.24	170.11	199.62	263.51	259.09	249.57	253.50	225.05	192.00	187.52	216.17	183.12	174.36	201.54	290.66	278.34	217.53
CLUG_00242	476801	103.22	118.17	93.90	110.05	108.79	116.85	96.32	76.26	92.12	181.93	118.70	89.63	98.72	210.32	307.00	85.80	80.39	94.95	70.99	425.14	154.94	116.91	103.29	121.15	244.32	250.06	272.24	269.48	238.83	239.06	233.61	259.06	243.09	198.99	240.03	270.22	212.73	211.90	183.90	205.44	256.36	322.32	314.04	310.86	240.69	211.74	242.10	229.60	281.87	215.60	208.32	236.08	288.27	273.12	255.93
CLUG_00243	481208	128.67	146.51	116.62	138.11	142.44	130.48	122.56	94.60	104.15	195.76	127.62	95.95	127.41	262.54	394.04	94.47	92.79	113.11	88.31	511.52	189.13	123.76	115.57	150.64	267.26	246.54	292.63	300.59	261.54	236.57	242.75	295.43	283.71	214.86	264.15	285.37	176.44	205.84	188.88	186.23	242.66	308.52	329.66	311.19	252.17	202.08	247.33	214.16	239.95	231.61	202.86	220.28	283.74	283.25	267.93
CLUG_00244	482299	83.04	102.55	82.05	102.26	100.85	107.01	88.89	68.52	90.69	157.76	102.22	75.15	92.04	183.75	264.60	70.06	66.15	89.03	65.59	376.21	134.15	93.95	85.97	100.27	208.84	210.14	254.37	241.24	212.19	204.13	209.80	228.92	222.84	178.61	233.82	217.89	198.88	207.44	149.64	172.95	211.40	276.43	291.26	252.38	220.10	195.13	184.88	196.28	240.83	176.83	167.59	192.74	249.00	239.99	211.92
CLUG_00245	484446	100.08	120.97	101.96	124.22	115.74	116.68	104.29	80.17	99.86	180.43	120.02	95.05	101.30	224.58	337.66	92.78	86.30	96.45	83.30	445.90	154.01	126.57	96.74	121.55	251.05	242.39	275.16	278.48	250.24	235.34	230.98	255.51	254.63	201.41	248.69	256.01	196.26	205.42	170.52	184.55	252.06	299.57	306.34	283.21	233.47	224.52	213.19	223.44	253.87	216.17	187.09	213.03	271.73	258.48	251.47
CLUG_00246	487122	111.94	121.55	108.98	133.88	120.83	123.75	104.55	80.02	97.06	174.07	109.99	94.86	112.06	232.63	355.83	99.53	76.93	94.59	80.22	456.39	159.46	116.15	108.29	127.68	260.70	232.77	303.60	280.45	243.25	241.29	254.10	275.07	257.43	205.91	261.19	281.73	229.54	242.61	173.47	184.77	233.76	307.79	318.90	293.63	244.67	215.73	214.83	219.58	249.63	206.03	193.30	218.12	286.63	281.65	240.05
CLUG_00247	490035	116.57	146.37	107.47	126.04	129.10	143.00	116.73	85.61	111.29	211.85	132.95	99.77	116.36	242.68	377.91	94.60	92.21	102.99	83.16	486.28	174.54	128.72	121.24	149.20	278.90	261.94	290.10	290.00	259.63	247.99	265.04	293.68	273.92	219.18	268.67	270.59	198.72	215.28	182.97	203.10	237.28	317.92	330.89	285.40	253.62	223.56	213.00	213.87	271.32	205.26	190.95	223.94	293.56	276.66	254.86
CLUG_00248	491665	113.33	137.32	105.18	128.11	127.80	125.11	107.96	83.40	102.79	195.11	123.84	101.42	117.45	241.26	366.53	97.05	89.09	101.73	80.97	477.56	173.12	141.41	118.14	148.31	264.13	245.89	295.15	278.86	237.92	229.68	261.29	275.93	269.51	200.06	265.25	270.82	194.69	196.86	167.39	192.38	234.79	309.92	317.40	292.92	261.26	225.98	210.00	228.21	271.71	199.65	198.07	213.59	278.21	265.31	251.32
CLUG_00249	494561	117.23	130.58	107.30	141.10	135.77	127.10	124.94	84.17	101.85	179.94	119.09	106.90	118.68	247.07	375.55	100.41	86.04	109.81	82.82	497.74	170.78	128.86	112.35	133.70	262.09	270.37	309.47	288.76	254.48	256.61	262.69	289.43	267.69	212.05	281.91	289.65	202.74	204.17	170.21	195.82	245.29	316.45	315.39	289.19	248.80	223.92	204.58	221.89	260.84	217.10	192.99	229.82	291.57	283.54	261.07
CLUG_00250	496331	123.24	129.15	106.62	129.84	125.71	130.54	115.78	82.69	97.57	185.11	126.69	94.09	118.81	253.15	364.04	92.25	81.15	105.23	79.11	486.60	158.21	129.25	106.09	124.76	265.37	243.17	279.76	290.69	257.82	260.11	274.62	280.10	271.49	208.75	268.15	274.97	193.83	194.78	183.22	194.80	237.95	332.88	314.00	295.88	256.59	222.38	199.31	223.61	272.42	202.83	202.91	218.60	275.35	273.93	241.06
CLUG_00251	497485	125.29	141.62	111.24	125.96	130.07	136.84	115.68	89.74	100.65	202.65	141.12	96.71	120.54	268.40	391.40	103.05	81.45	117.68	91.82	524.32	171.43	136.74	123.60	134.39	274.33	263.93	290.08	294.47	248.43	252.42	265.29	290.45	275.64	199.40	264.80	288.10	206.92	215.15	186.32	195.94	247.47	325.03	336.87	319.92	270.44	232.14	214.61	226.59	252.33	214.03	191.28	231.33	292.87	297.63	252.10
CLUG_00252	499003	124.34	141.57	108.64	135.43	128.65	128.88	110.04	88.48	98.32	198.69	122.85	95.49	119.73	252.27	406.24	103.15	89.52	103.92	80.50	507.81	179.19	128.27	109.31	145.27	258.67	269.55	288.10	290.27	250.25	248.22	252.13	273.29	266.55	204.38	266.10	280.25	171.62	186.75	175.19	196.78	242.59	328.98	336.71	299.54	263.44	218.58	214.57	217.58	247.90	204.99	190.19	239.43	298.63	284.96	248.00
CLUG_00253	500122	118.77	138.89	111.33	134.24	124.18	132.64	115.77	90.35	96.37	200.36	138.63	98.63	124.05	243.50	360.91	97.95	87.63	95.38	83.37	470.23	169.63	131.40	118.96	137.47	272.66	255.01	295.11	288.76	248.01	244.92	260.17	280.55	264.73	208.34	256.64	278.78	201.87	217.45	168.69	200.90	246.44	316.17	319.86	292.58	260.99	227.41	208.55	222.03	259.75	209.69	182.61	233.22	283.72	271.48	251.44
CLUG_00254	502819	121.30	127.44	104.04	113.00	118.04	133.27	116.03	93.63	102.47	180.24	125.90	89.28	114.47	243.69	348.28	102.25	91.31	109.11	86.64	462.47	163.15	137.53	110.97	127.86	285.15	254.75	299.55	297.62	270.82	249.16	268.81	279.26	263.94	210.13	255.53	293.12	184.96	212.21	187.42	193.68	241.46	319.45	326.38	286.60	258.26	214.97	206.60	213.86	251.91	216.75	197.54	240.15	280.93	253.03	252.62
CLUG_00255	503752	104.54	124.38	100.35	120.76	126.94	114.47	113.11	84.19	99.90	185.37	125.78	92.67	110.55	221.48	341.64	87.82	84.83	99.95	81.12	469.61	155.68	122.66	112.74	136.91	249.35	232.90	284.20	273.30	221.98	241.93	240.77	273.47	246.91	191.79	259.52	275.75	171.49	182.56	162.23	183.78	222.11	282.82	293.91	278.30	229.00	209.24	191.72	194.85	231.58	191.55	179.45	209.11	275.95	274.42	245.33
CLUG_00256	505194	120.87	127.16	93.54	131.78	133.22	122.88	122.11	87.92	107.12	195.71	118.83	102.49	119.59	244.16	364.89	99.20	87.33	99.10	84.94	474.84	163.99	132.35	118.77	138.42	274.38	256.35	299.66	292.33	236.03	234.67	255.24	270.16	265.20	211.63	278.18	279.77	197.91	206.67	172.28	183.13	232.80	307.64	313.33	297.66	247.36	226.67	221.55	216.33	260.36	200.70	188.03	227.09	277.89	264.61	251.05
CLUG_00257	506423	114.89	121.18	104.86	121.70	115.81	133.11	113.88	99.12	99.83	185.82	133.83	87.81	118.12	246.49	357.20	88.77	88.70	101.08	84.40	478.41	163.41	139.94	116.34	128.58	255.89	251.11	291.93	272.85	241.45	243.88	240.68	287.46	258.17	200.88	275.88	281.44	175.81	193.56	167.09	182.01	249.10	305.73	313.45	283.39	248.40	218.03	201.83	207.78	253.60	200.47	178.08	214.56	283.10	286.34	243.78
CLUG_00258	507716	117.58	139.25	104.64	132.99	130.62	131.43	108.90	93.78	109.73	190.95	134.49	103.62	126.92	253.57	367.56	97.70	89.82	98.60	84.25	485.12	164.20	127.74	106.02	140.71	254.64	246.41	288.45	280.14	238.84	239.05	253.20	289.07	266.64	198.15	274.21	264.50	187.73	206.82	172.94	177.71	230.29	300.53	325.95	294.91	254.32	216.87	209.90	210.99	246.96	200.72	186.17	215.18	279.16	260.88	237.42
CLUG_00259	509924	114.49	127.88	98.75	119.85	128.50	128.67	109.25	86.77	105.87	181.99	127.17	101.72	113.82	237.70	350.49	97.44	88.29	97.42	78.09	471.38	165.66	135.31	107.06	132.79	278.95	256.62	316.03	285.82	245.83	239.97	249.19	284.82	273.63	211.84	248.05	270.32	215.54	220.79	183.33	193.02	237.80	304.24	331.35	280.94	259.39	223.14	210.80	224.01	243.85	201.98	184.72	214.58	259.51	275.60	252.57
CLUG_00260	511661	85.84	101.39	82.03	99.28	100.91	102.14	92.38	72.72	77.91	150.21	101.70	78.79	89.90	192.57	277.27	70.19	69.68	82.26	62.72	378.19	130.78	108.84	86.70	101.83	225.71	219.85	258.74	250.41	213.87	204.42	215.41	243.96	232.18	179.76	225.99	232.16	194.19	197.73	149.83	168.50	208.71	262.12	277.40	252.95	212.19	194.87	183.03	197.69	215.65	173.52	164.61	188.78	241.71	244.36	215.73
CLUG_00261	515953	111.23	122.42	102.25	117.61	114.76	118.33	101.88	83.31	91.27	174.21	119.81	85.89	110.89	233.65	324.68	86.29	78.53	90.62	75.42	442.01	158.37	113.82	105.30	124.65	260.45	242.02	284.91	260.68	239.42	225.95	242.42	265.54	258.04	197.80	250.13	254.53	191.81	201.97	159.67	176.06	229.00	298.18	306.10	284.55	245.80	215.64	194.00	217.70	238.18	201.23	172.26	207.71	255.48	265.62	236.81
CLUG_00262	518092	107.87	130.17	104.28	126.91	120.28	128.52	110.23	90.01	91.29	178.17	119.03	103.08	118.11	239.91	343.48	83.93	84.64	95.90	74.25	456.08	162.38	118.37	118.74	130.22	248.26	231.39	293.58	286.52	229.05	234.34	244.59	269.70	271.12	197.35	253.49	248.89	170.49	195.36	164.06	173.77	225.39	294.73	289.13	282.97	238.53	209.06	196.28	209.69	235.72	199.62	171.82	207.45	275.19	238.05	229.37
CLUG_00263	520004	129.24	134.16	114.00	129.67	136.95	125.50	117.46	87.28	107.91	200.53	137.35	100.73	126.81	250.26	382.43	99.56	87.39	108.38	85.74	496.58	168.54	133.79	112.45	142.61	282.85	260.88	309.06	291.95	255.86	247.90	263.39	284.36	273.34	211.44	259.80	280.70	195.84	214.43	178.44	194.62	241.50	340.09	328.45	298.54	253.49	209.63	217.30	222.71	263.12	205.70	191.80	221.38	303.63	288.66	257.13
CLUG_00264	522909	114.50	124.33	103.02	117.35	130.60	116.07	115.51	82.18	98.43	179.99	126.64	96.13	113.52	241.38	350.52	94.17	77.40	99.99	75.48	460.34	163.91	123.83	105.21	126.09	255.86	236.78	291.11	264.93	236.31	233.49	255.33	273.27	270.08	196.19	270.09	271.14	186.97	210.16	171.23	175.98	226.09	304.69	311.81	287.12	248.86	206.32	191.55	214.95	236.88	195.46	184.58	209.37	272.61	265.73	243.77
CLUG_00265	525648	115.89	122.52	97.77	122.57	135.72	127.03	117.19	81.85	105.15	184.68	121.08	103.95	120.10	232.68	358.95	95.55	82.20	96.68	79.72	463.11	164.76	134.11	119.44	127.62	257.17	247.03	293.97	286.17	252.00	238.38	253.42	289.01	273.90	182.21	253.66	273.41	217.32	225.35	162.76	192.77	238.14	308.56	306.26	291.48	250.02	209.12	212.94	217.16	257.69	192.52	180.86	212.79	277.23	273.65	242.64
CLUG_00266	527173	108.85	122.11	97.48	126.33	119.71	119.95	109.87	78.13	93.64	182.13	127.06	94.53	114.85	226.42	349.03	86.70	81.36	94.33	77.36	451.82	156.58	127.54	106.30	124.69	277.28	242.77	288.16	283.21	250.99	245.29	241.39	283.58	269.45	209.26	260.77	270.35	192.57	205.73	171.55	190.79	242.11	317.75	311.35	293.70	251.22	212.79	215.49	211.64	239.80	206.36	186.81	226.55	272.57	263.83	253.39
CLUG_00267	529589	118.00	126.44	98.55	119.89	126.86	117.92	112.09	84.01	102.58	180.12	120.33	94.88	112.24	224.52	358.57	105.24	75.62	91.00	83.29	471.07	156.95	125.34	116.65	129.23	280.55	257.40	296.89	273.44	242.59	243.82	237.29	296.07	266.65	202.78	260.36	274.10	220.04	236.28	173.43	201.06	249.48	314.04	314.21	299.01	237.98	221.64	218.34	209.35	259.40	211.68	192.99	225.95	272.51	280.55	264.57
CLUG_00268	531662	111.40	134.47	114.20	129.52	136.36	113.03	112.51	99.68	91.00	185.29	129.11	91.91	121.61	224.23	343.15	90.00	85.94	96.43	71.30	434.54	151.31	119.36	97.36	124.00	257.40	235.18	280.55	257.03	247.63	228.76	247.92	262.27	268.57	199.45	277.52	273.33	198.36	202.16	164.46	198.14	215.60	300.74	315.66	299.82	242.77	208.55	203.12	197.34	239.06	209.30	193.40	202.79	241.71	256.02	230.68
CLUG_00269	532104	114.27	136.87	108.90	131.46	131.43	126.48	115.12	94.25	97.52	193.66	128.90	106.18	116.50	261.79	377.40	101.16	86.92	103.80	77.43	482.46	164.10	128.25	108.29	130.28	277.98	245.20	302.28	293.31	252.00	246.87	268.54	293.50	280.87	215.04	273.04	276.12	214.96	219.53	166.14	189.36	244.64	312.87	314.37	298.60	265.71	222.36	211.74	219.76	252.84	215.06	180.80	225.68	284.90	278.70	257.64
CLUG_00270	534181	110.25	121.13	98.91	125.83	121.19	124.93	110.85	85.08	97.68	190.36	128.65	104.65	115.83	239.42	369.77	88.28	80.81	106.33	82.25	493.87	168.47	129.42	125.96	135.81	274.29	230.41	294.44	263.95	237.30	233.97	247.04	272.21	273.44	204.05	250.53	258.49	201.68	203.43	167.55	192.31	225.13	307.90	313.76	289.69	238.12	202.44	196.49	220.38	248.75	195.97	178.33	218.64	279.12	272.33	248.14
CLUG_00271	535196	116.24	132.47	94.83	126.52	121.42	121.46	108.24	77.88	95.56	179.43	126.42	100.38	106.08	233.91	344.61	92.91	77.11	94.71	78.60	449.44	159.66	129.43	99.88	123.09	276.32	244.90	304.55	293.56	254.51	247.69	264.08	283.34	275.93	203.12	269.41	267.41	237.26	248.09	174.27	187.56	240.08	312.39	318.64	310.19	258.25	220.02	211.63	211.65	255.23	204.03	170.46	228.26	275.34	268.82	256.96
CLUG_00272	537200	107.69	125.70	98.86	111.63	126.85	125.54	114.30	77.07	96.35	181.90	105.92	90.40	112.98	227.17	335.84	99.87	79.37	96.12	80.46	447.96	156.54	129.81	102.57	122.42	275.76	240.53	286.87	261.90	244.39	249.50	252.98	273.87	269.71	221.33	262.28	275.55	187.47	200.01	161.72	206.36	227.61	307.54	304.98	303.76	246.98	219.05	195.47	209.68	251.55	197.60	184.20	222.96	267.90	267.22	239.45
CLUG_00273	538164	113.44	125.34	108.47	121.56	111.69	128.29	117.36	87.18	106.37	171.41	133.33	97.41	121.56	219.07	347.44	96.88	80.72	115.43	76.77	474.56	155.94	138.61	104.12	133.38	286.16	260.17	310.35	287.84	266.58	239.81	259.55	287.07	275.31	213.52	269.00	269.83	219.29	232.74	188.39	207.98	236.98	331.87	325.35	303.75	266.62	219.87	225.10	213.67	250.25	226.55	186.22	231.39	282.33	274.11	271.66
CLUG_00274	539780	95.91	115.65	103.97	96.43	112.71	114.98	99.09	89.10	91.76	171.97	120.69	90.55	118.00	231.36	320.08	80.84	73.91	91.97	73.28	439.67	141.89	134.18	96.62	121.91	272.60	259.74	306.14	281.22	238.76	240.77	271.69	256.16	258.15	207.68	272.20	276.80	202.49	258.35	178.54	205.98	243.09	316.79	305.02	280.65	261.24	211.26	225.33	214.04	249.62	216.81	181.16	219.45	267.65	256.31	247.63
CLUG_00275	540542	94.81	112.65	96.59	113.49	107.22	114.42	94.65	85.72	98.45	166.90	105.62	85.74	116.20	214.21	327.53	88.20	75.91	96.95	71.55	426.66	143.27	126.17	98.20	118.89	246.71	246.57	296.46	277.61	230.11	235.58	250.77	262.73	253.30	201.67	248.53	247.78	192.07	219.01	167.54	175.63	220.20	322.34	293.54	261.61	242.67	195.96	193.09	207.87	242.95	193.33	187.68	205.45	264.79	248.09	233.63
CLUG_00276	540742	95.86	111.79	86.00	121.32	107.11	104.98	94.02	79.06	99.03	156.92	105.61	86.23	113.93	214.01	308.22	91.00	73.32	89.57	69.44	411.37	145.30	118.82	100.08	106.97	235.47	228.43	276.21	263.08	231.39	230.77	244.44	259.21	234.65	197.25	250.28	241.66	187.22	213.02	164.60	177.81	211.35	297.04	285.99	256.39	234.12	184.82	191.26	195.00	234.76	190.63	176.54	202.39	266.32	254.61	238.49
CLUG_00277	542289	117.17	126.19	105.33	118.37	125.83	122.76	110.96	89.00	96.82	193.79	120.07	109.81	118.00	237.75	355.93	98.79	79.32	92.90	78.86	459.00	160.72	126.44	105.33	127.17	270.00	245.31	306.64	267.53	240.77	235.63	255.20	269.63	275.84	194.27	262.92	269.53	175.61	193.89	163.33	189.21	223.94	302.82	304.78	282.58	239.32	213.85	203.66	210.21	235.09	198.96	180.89	217.24	271.36	276.30	245.91
CLUG_00278	547075	98.67	110.49	93.95	107.71	106.82	112.65	100.79	80.78	99.24	173.97	105.15	84.88	106.67	220.25	303.71	82.51	75.02	94.53	74.15	412.74	144.59	120.40	98.46	115.94	260.10	221.62	264.55	262.14	235.99	225.48	227.65	254.81	260.63	207.74	241.46	265.73	181.10	202.00	156.88	164.89	221.77	298.71	286.81	271.49	242.32	193.10	188.41	203.63	234.90	191.55	164.82	219.24	255.58	247.41	226.96
CLUG_00279	548530	98.03	134.01	103.08	117.72	136.08	114.45	115.62	82.98	89.91	184.99	114.77	100.15	118.43	232.69	359.56	93.77	79.00	101.51	77.53	458.11	177.35	126.80	111.60	112.34	262.75	246.51	302.25	292.71	238.92	248.61	259.99	265.99	255.99	214.78	276.62	275.15	212.15	215.55	155.67	201.75	234.37	282.68	324.54	286.04	242.53	226.70	207.82	217.01	263.88	209.11	198.12	203.40	289.22	269.87	250.84
CLUG_00280	549445	115.26	131.63	98.91	120.52	115.21	118.51	95.95	86.03	100.56	172.90	126.31	88.05	111.92	224.44	338.03	87.29	76.17	98.73	76.28	443.18	153.08	115.23	91.49	121.37	247.95	224.19	299.02	267.17	238.04	229.30	240.67	275.85	260.32	186.48	250.83	265.31	186.51	199.22	154.39	185.52	224.85	299.99	312.20	275.00	238.68	209.35	201.29	203.76	233.50	191.19	175.95	208.95	272.21	256.13	242.93
CLUG_00281	550710	108.23	134.49	104.40	124.27	121.44	124.20	109.92	85.34	97.98	187.44	124.87	93.90	116.62	235.75	346.45	88.74	75.15	98.28	73.26	448.89	148.84	115.41	105.26	126.49	256.78	232.21	277.61	279.25	231.88	239.21	245.99	268.60	259.89	201.42	256.97	259.12	171.63	191.47	162.98	186.14	240.10	298.22	298.69	276.32	237.34	203.58	198.25	206.06	233.68	194.24	192.34	219.34	269.31	264.46	233.75
CLUG_00282	553791	97.64	114.90	100.35	121.08	120.58	111.83	99.95	79.10	90.95	177.17	125.36	93.55	106.55	220.58	329.17	82.73	70.58	95.87	71.24	437.84	151.40	124.38	106.13	126.41	263.11	240.71	293.63	278.32	229.91	241.20	249.82	270.59	258.96	198.22	260.25	258.90	224.20	225.05	159.82	184.66	237.56	302.22	307.49	284.84	240.85	195.15	208.29	193.59	254.25	191.03	170.16	209.54	269.60	260.20	239.08
